source_name,target_name
USA,United States
United States of America,United States
US,United States
IR Iran,Iran
Republic of Korea,South Korea
Korea Republic,South Korea
Korea DPR,North Korea
PR Korea,North Korea
Ivory Coast,Ivory Coast
Cote d'Ivoire,Ivory Coast
Czechia,Czech Republic
Czech Republic,Czech Republic
Democratic Republic of the Congo,DR Congo
DR Congo,DR Congo
Curacao,Curaçao
Curaçao,Curaçao
Turkiye,Turkey
Türkiye,Turkey
Turkey,Turkey
Republic of Ireland,Ireland
UAE,United Arab Emirates
United Arab Emirates,United Arab Emirates
