match_id,stage,group,match_date,venue,city,country,home_team,away_team,neutral,bracket_slot_home,bracket_slot_away
1,Group Stage,A,2026-06-11T13:00:00,Estadio Azteca,Mexico City,Mexico,Mexico,South Africa,False,,
2,Group Stage,A,2026-06-11T20:00:00,Estadio Akron,Guadalajara (Zapopan),Mexico,South Korea,Czech Republic,True,,
3,Group Stage,B,2026-06-12T15:00:00,BMO Field,Toronto,Canada,Canada,Bosnia and Herzegovina,False,,
4,Group Stage,D,2026-06-12T18:00:00,SoFi Stadium,Los Angeles (Inglewood),United States,United States,Paraguay,False,,
5,Group Stage,C,2026-06-13T21:00:00,Gillette Stadium,Boston (Foxborough),United States,Haiti,Scotland,True,,
6,Group Stage,D,2026-06-13T21:00:00,BC Place,Vancouver,Canada,Australia,Turkey,True,,
7,Group Stage,C,2026-06-13T18:00:00,MetLife Stadium,New York/New Jersey (East Rutherford),United States,Brazil,Morocco,True,,
8,Group Stage,B,2026-06-13T12:00:00,Levi's Stadium,San Francisco Bay Area (Santa Clara),United States,Qatar,Switzerland,True,,
9,Group Stage,E,2026-06-14T19:00:00,Lincoln Financial Field,Philadelphia,United States,Ivory Coast,Ecuador,True,,
10,Group Stage,E,2026-06-14T12:00:00,NRG Stadium,Houston,United States,Germany,Curaçao,True,,
11,Group Stage,F,2026-06-14T15:00:00,AT&T Stadium,"Dallas (Arlington, Texas)",United States,Netherlands,Japan,True,,
12,Group Stage,F,2026-06-14T20:00:00,Estadio BBVA,Monterrey (Guadalupe),Mexico,Sweden,Tunisia,True,,
13,Group Stage,G,2026-06-15T18:00:00,SoFi Stadium,Los Angeles (Inglewood),United States,Iran,New Zealand,True,,
14,Group Stage,H,2026-06-15T12:00:00,Mercedes-Benz Stadium,Atlanta,United States,Spain,Cape Verde,True,,
15,Group Stage,G,2026-06-15T12:00:00,Lumen Field,Seattle,United States,Belgium,Egypt,True,,
16,Group Stage,H,2026-06-15T18:00:00,Hard Rock Stadium,Miami (Miami Gardens),United States,Saudi Arabia,Uruguay,True,,
17,Group Stage,I,2026-06-16T15:00:00,MetLife Stadium,New York/New Jersey (East Rutherford),United States,France,Senegal,True,,
18,Group Stage,I,2026-06-16T18:00:00,Gillette Stadium,Boston (Foxborough),United States,Iraq,Norway,True,,
19,Group Stage,J,2026-06-16T20:00:00,GEHA Field at Arrowhead Stadium,Kansas City,United States,Argentina,Algeria,True,,
20,Group Stage,J,2026-06-16T21:00:00,Levi's Stadium,San Francisco Bay Area (Santa Clara),United States,Austria,Jordan,True,,
21,Group Stage,K,2026-06-17T12:00:00,NRG Stadium,Houston,United States,Portugal,DR Congo,True,,
