match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,group,source_name,source_url
1,2026-06-11,Mexico,South Africa,2,0,FIFA World Cup,Mexico City,Mexico,False,A,SB Nation,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more
2,2026-06-11,South Korea,Czech Republic,2,1,FIFA World Cup,Guadalajara (Zapopan),Mexico,True,A,SB Nation,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more
3,2026-06-12,Canada,Bosnia and Herzegovina,1,1,FIFA World Cup,Toronto,Canada,False,B,SB Nation,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more
4,2026-06-12,United States,Paraguay,4,1,FIFA World Cup,Los Angeles (Inglewood),United States,False,D,SB Nation,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more
5,2026-06-13,Haiti,Scotland,0,1,FIFA World Cup,Boston (Foxborough),United States,True,C,SB Nation,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more
6,2026-06-13,Australia,Turkey,2,0,FIFA World Cup,Vancouver,Canada,True,D,SB Nation,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more
7,2026-06-13,Brazil,Morocco,1,1,FIFA World Cup,New York/New Jersey (East Rutherford),United States,True,C,SB Nation,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more
8,2026-06-13,Qatar,Switzerland,1,1,FIFA World Cup,San Francisco Bay Area (Santa Clara),United States,True,B,SB Nation,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more
9,2026-06-14,Ivory Coast,Ecuador,1,0,FIFA World Cup,Philadelphia,United States,True,E,SB Nation,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more
10,2026-06-14,Germany,Curaçao,7,1,FIFA World Cup,Houston,United States,True,E,SB Nation,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more
11,2026-06-14,Netherlands,Japan,2,2,FIFA World Cup,"Dallas (Arlington, Texas)",United States,True,F,SB Nation,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more
12,2026-06-14,Sweden,Tunisia,5,1,FIFA World Cup,Monterrey (Guadalupe),Mexico,True,F,SB Nation,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more
13,2026-06-15,Iran,New Zealand,2,2,FIFA World Cup,Los Angeles (Inglewood),United States,True,G,SB Nation,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more
14,2026-06-15,Spain,Cape Verde,0,0,FIFA World Cup,Atlanta,United States,True,H,SB Nation,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more
15,2026-06-15,Belgium,Egypt,1,1,FIFA World Cup,Seattle,United States,True,G,SB Nation,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more
16,2026-06-15,Saudi Arabia,Uruguay,1,1,FIFA World Cup,Miami (Miami Gardens),United States,True,H,SB Nation,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more
17,2026-06-16,France,Senegal,3,1,FIFA World Cup,New York/New Jersey (East Rutherford),United States,True,I,SB Nation,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more
