match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,group,source_name,source_url,stage,winner,loser,decided_by,penalty_home_score,penalty_away_score
73,2026-06-28,South Africa,Canada,0,1,FIFA World Cup,Los Angeles (Inglewood),United States,True,,SB Nation,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32,Canada,South Africa,score,,
74,2026-06-29,Germany,Paraguay,1,1,FIFA World Cup,Boston (Foxborough),United States,True,,SB Nation,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32,Paraguay,Germany,penalties,3.0,4.0
75,2026-06-29,Netherlands,Morocco,1,1,FIFA World Cup,Monterrey (Guadalupe),Mexico,True,,SB Nation,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32,Morocco,Netherlands,penalties,2.0,3.0
76,2026-06-29,Brazil,Japan,2,1,FIFA World Cup,Houston,United States,True,,SB Nation,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32,Brazil,Japan,score,,
77,2026-06-30,France,Sweden,3,0,FIFA World Cup,New York/New Jersey (East Rutherford),United States,True,,SB Nation,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32,France,Sweden,score,,
78,2026-06-30,Ivory Coast,Norway,1,2,FIFA World Cup,"Dallas (Arlington, Texas)",United States,True,,SB Nation,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32,Norway,Ivory Coast,score,,
79,2026-06-30,Mexico,Ecuador,2,0,FIFA World Cup,Mexico City,Mexico,True,,SB Nation,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32,Mexico,Ecuador,score,,
80,2026-07-01,England,DR Congo,2,1,FIFA World Cup,Atlanta,United States,True,,SB Nation,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32,England,DR Congo,score,,
81,2026-07-01,United States,Bosnia and Herzegovina,2,0,FIFA World Cup,San Francisco Bay Area (Santa Clara),United States,True,,SB Nation,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32,United States,Bosnia and Herzegovina,score,,
82,2026-07-01,Belgium,Senegal,3,2,FIFA World Cup,Seattle,United States,True,,SB Nation,https://www.sbnation.com/soccer/1120771/world-cup-schedule-scores-round-32,Round of 32,Belgium,Senegal,score,,
